M00006;U00001;Rynkowa Polnoc
M00099;U00002;Jodlowa Wschod
M00110;U00003;Spacerowa Polnoc
M00013;U00004;Krotka Boczna
M00059;U00005;Centralna Zachod
M00047;U00006;Sosnowa Boczna
M00046;U00007;Ogrodowa Gorna
M00035;U00008;Brzozowa Handlowa
M00088;U00009;Pocztowa Nadbrzezna
M00078;U00010;Modrzewiowa Polnoc
M00069;U00011;Sosnowa Poludnie
M00021;U00012;Koscielna Wschod
M00035;U00013;Topolowa Dolna
M00072;U00014;Sosnowa Miejska
M00042;U00015;Krotka Handlowa
M00106;U00016;Warszawska Wschod
M00041;U00017;Kosciuszki Glowna
M00009;U00018;Zamkowa Zachod
M00073;U00019;Brzozowa Nadbrzezna
M00028;U00020;Rynkowa Gorna
M00051;U00021;Modrzewiowa Stara
M00018;U00022;Sloneczna Zachod
M00072;U00023;Dluga Miejska
M00096;U00024;Debowa Zachod
M00115;U00025;Sadowa Dolna
M00018;U00026;Targowa Wschod
M00012;U00027;Moniuszki Stara
M00015;U00028;Warszawska Boczna
M00021;U00029;Sloneczna Handlowa
M00077;U00030;Brzoskwiniowa Dolna
M00049;U00031;Krakowska Dolna
M00068;U00032;Liliowa Stara
M00111;U00033;Grunwaldzka Nowa
M00093;U00034;Mickiewicza Handlowa
M00114;U00035;Szkolna Handlowa
M00035;U00036;Debowa Glowna
M00015;U00037;Modrzewiowa Gorna
M00021;U00038;Spacerowa Dolna
M00093;U00039;Topolowa Centrum
M00065;U00040;Koscielna Zachod
M00117;U00041;Lipowa Nowa
M00081;U00042;Lesna Boczna
M00082;U00043;Jasna Boczna
M00026;U00044;Moniuszki Osiedlowa
M00098;U00045;Sloneczna Gorna
M00100;U00046;Ogrodowa Nowa
M00001;U00047;Kasztanowa Nadbrzezna
M00063;U00048;Liliowa Gorna
M00119;U00049;Sienkiewicza Polnoc
M00107;U00050;Targowa Nadbrzezna
M00008;U00051;Jasna Wschod
M00073;U00052;Dluga Nadbrzezna
M00094;U00053;Dworcowa Polnoc
M00009;U00054;Slowackiego Boczna
M00085;U00055;Polna Poludnie
M00022;U00056;Wolnosci Nowa
M00028;U00057;Liliowa Dolna
M00026;U00058;Koscielna Miejska
